"Nub_ID","Time","Species","Coral","Color","Colony","Treatment","Tank","Assignment","Memory_num","Fo","Fm","Yield"
"G070_Poc4_CH_2.3",3,"Pocillopora",70,"G",4,2,3,"CH",1061,514,1493,0.656
"G071_Poc4_TP_0.2",3,"Pocillopora",71,"G",4,0,2,"TP",1025,344,979,0.649
"G072_Poc4_CH_0.3",3,"Pocillopora",72,"G",4,0,3,"CH",1084,396,1174,0.663
"G073_Poc4_CH_1.1",3,"Pocillopora",73,"G",4,1,1,"CH",969,322,924,0.652
"G074_Poc4_CH_3.1",3,"Pocillopora",74,"G",4,3,1,"CH",962,427,1359,0.686
"G075_Poc4_CH_4.1",3,"Pocillopora",75,"G",4,4,1,"CH",992,519,1683,0.692
"G076_Poc4_CH_4.3",3,"Pocillopora",76,"G",4,4,3,"CH",1070,337,1000,0.663
"G077_Poc4_CH_3.2",3,"Pocillopora",77,"G",4,3,2,"CH",1047,419,1242,0.663
"G078_Poc4_CH_4.2",3,"Pocillopora",78,"G",4,4,2,"CH",1016,348,1129,0.692
"G079_Poc4_CH_2.2",3,"Pocillopora",79,"G",4,2,2,"CH",1029,467,1346,0.653
"G080_Poc4_CH_0.1",3,"Pocillopora",80,"G",4,0,1,"CH",982,478,1386,0.655
"G081_Poc5_CH_2.2",3,"Pocillopora",81,"G",5,2,2,"CH",998,269,842,0.681
"G082_Poc5_CH_3.2",3,"Pocillopora",82,"G",5,3,2,"CH",1050,459,1365,0.664
"G083_Poc5_CH_T0.",3,"Pocillopora",83,"G",5,NA,NA,"T0",NA,NA,NA,NA
