Nub_ID,Species,Coral,Color,Colony.No,Assignment ,Treatment,Tank,Initial ,Initial Temperature,Final,Final Temperature,
G094_Poc5_CH_3.1,Pocillopora,94,Green,5,CH,3,1,3.752,26.302,3.793,25.4,
R018_Poc6_CH_3.1,Pocillopora,18,RED,6,CH,3,1,4.045,26.305,4.145,25.4,
R030_Poc7_CH_3.1,Pocillopora,30,RED,7,CH,3,1,3.369,26.938,3.409,25.43,
R054_Poc8_CH_3.1,Pocillopora,54,RED,8,CH,3,1,3.584,26.909,3.634,25.4,
G134_Por2_CH_3.1,Porites,134,Green,2,CH,3,1,3.066,26.73,3.127,25.45,
G148_Por3_CH_3.1,Porites,148,Green,3,CH,3,1,5.923,26.766,6.385,25.4,
G178_Por4_CH_3.1,Porites,178,Green,4,CH,3,1,4.289,26.858,4.449,25.46,
G191_Por5_CH_3.1,Porites,191,Green,5,CH,3,1,2.806,26.778,2.94,25.43,
R117_Por6_CH_3.1,Porites,117,RED,6,CH,3,1,4.432,26.744,4.629,25.4,
R133_Por7_CH_3.1,Porites,133,RED,7,CH,3,1,3.527,26.823,3.565,25.46,
R180_Por8_CH_3.1,Porites,180,RED,8,CH,3,1,3.642,26.716,3.758,25.43,
G024_Poc2_CH_3.2,Pocillopora,24,Green,2,CH,3,2,3.448,26.759,3.488,24.89,
G056_Poc3_CH_3.2,Pocillopora,56,Green,3,CH,3,2,3.136,27.144,3.185,24.89,
G077_Poc4_CH_3.2,Pocillopora,77,Green,4,CH,3,2,3.518,26.956,3.55,24.89,
G082_Poc5_CH_3.2,Pocillopora,82,Green,5,CH,3,2,4.902,26.294,4.927,25.11,
R003_Poc6_CH_3.2,Pocillopora,3,RED,6,CH,3,2,3.678,26.342,3.752,24.9,
R021_Poc7_CH_3.2,Pocillopora,21,RED,7,CH,3,2,4.407,26.94,4.346,25.11,
R048_Poc8_CH_3.2,Pocillopora,48,RED,8,CH,3,2,3.385,26.899,3.422,24.89,
G129_Por2_CH_3.2,Porites,129,Green,2,CH,3,2,3.481,26.716,3.563,24.89,
G152_Por3_CH_3.2,Porites,152,Green,3,CH,3,2,3.331,26.754,3.561,24.89,
G180_Por4_CH_3.2,Porites,180,Green,4,CH,3,2,4,26.86,4.147,25.11,
G195_Por5_CH_3.2,Porites,195,Green,5,CH,3,2,3.716,26.734,3.751,24.9,
R106_Por6_CH_3.2,Porites,106,RED,6,CH,3,2,5.042,26.784,5.727,24.89,
R136_Por7_CH_3.2,Porites,136,RED,7,CH,3,2,5.089,26.789,5.135,25.11,
R169_Por8_CH_3.2,Porites,169,RED,8,CH,3,2,3.289,26.654,3.457,24.89,
G033_Poc2_CH_3.3,Pocillopora,33,Green,2,CH,3,3,3.495,26.71,3.571,25.11,
G043_Poc3_CH_3.3,Pocillopora,43,Green,3,CH,3,3,4.288,26.962,4.226,25.33,
G061_Poc4_CH_3.3,Pocillopora,61,Green,4,CH,3,3,3.104,26.967,3.146,25.33,
G097_Poc5_CH_3.3,Pocillopora,97,Green,5,CH,3,3,4.665,26.359,4.823,25.11,
R014_Poc6_CH_3.3,Pocillopora,14,RED,6,CH,3,3,5.846,26.353,5.96,25.33,
R029_Poc7_CH_3.3,Pocillopora,29,RED,7,CH,3,3,3.684,26.928,3.743,25.11,
R056_Poc8_CH_3.3,Pocillopora,56,RED,8,CH,3,3,7.031,26.906,7.082,25.11,
G132_Por2_CH_3.3,Porites,132,Green,2,CH,3,3,3.571,26.747,3.665,25.33,
G159_Por3_CH_3.3,Porites,159,Green,3,CH,3,3,2.722,26.685,2.94,25.11,
G167_Por4_CH_3.3,Porites,167,Green,4,CH,3,3,5.374,26.83,5.629,25.33,
G196_Por5_CH_3.3,Porites,196,Green,5,CH,3,3,4.331,26.742,4.4,25.11,
R104_Por6_CH_3.3,Porites,104,RED,6,CH,3,3,5.657,26.773,5.619,25.11,
R121_Por7_CH_3.3,Porites,121,RED,7,CH,3,3,3.859,26.814,3.955,25.11,
R176_Por8_CH_3.3,Porites,176,RED,8,CH,3,3,5.049,26.648,5.265,25.11,
G040_Poc2_CH_4.1,Pocillopora,40,Green,2,CH,4,1,3.226,26.725,3.259,24.85,
G054_Poc3_CH_4.1,Pocillopora,54,Green,3,CH,4,1,4.188,27.071,4.258,24.85,
G069_Poc4_TP_4.1,Pocillopora,69,Green,4,TP,4,1,3.012,26.944,3.035,24.85,
G075_Poc4_CH_4.1,Pocillopora,75,Green,4,CH,4,1,4.793,26.968,4.829,24.85,
G085_Poc5_CH_4.1,Pocillopora,85,Green,5,CH,4,1,3.361,26.381,3.378,24.85,
G090_Poc5_TP_4.1,Pocillopora,90,Green,5,TP,4,1,4.272,26.302,4.335,24.85,
R015_Poc6_CH_4.1,Pocillopora,15,RED,6,CH,4,1,3.679,26.358,3.738,24.85,
R031_Poc7_CH_4.1,Pocillopora,31,RED,7,CH,4,1,4.461,26.96,4.521,24.85,
R046_Poc8_CH_4.1,Pocillopora,46,RED,8,CH,4,1,5.691,26.895,5.742,24.85,
G127_Por2_CH_4.1,Porites,127,Green,2,CH,4,1,5.264,26.71,5.38,24.85,
G137_Por2_TP_4.1,Porites,137,Green,2,TP,4,1,4.649,26.706,4.726,24.85,
G147_Por3_CH_4.1,Porites,147,Green,3,CH,4,1,4.262,26.772,4.636,24.85,
G174_Por4_CH_4.1,Porites,174,Green,4,CH,4,1,2.831,26.853,2.935,24.85,
G189_Por5_CH_4.1,Porites,189,Green,5,CH,4,1,3.132,26.738,3.238,24.85,
G199_Por5_TP_4.1,Porites,199,Green,5,TP,4,1,6.854,26.75,7.132,24.85,
R118_Por6_CH_4.1,Porites,118,RED,6,CH,4,1,4.806,26.75,4.886,24.85,
R139_Por7_CH_4.1,Porites,139,RED,7,CH,4,1,4.887,26.754,4.993,24.85,
R173_Por8_CH_4.1,Porites,173,RED,8,CH,4,1,3.969,26.644,4.09,24.85,
G028_Poc2_CH_4.2,Pocillopora,28,Green,2,CH,4,2,3.635,26.672,3.732,24.85,
G031_Poc2_TP_4.2,Pocillopora,31,Green,2,TP,4,2,4.965,26.693,5.064,24.85,
G060_Poc3_CH_4.2,Pocillopora,60,Green,3,CH,4,2,4.628,26.996,4.711,24.85,
G078_Poc4_CH_4.2,Pocillopora,78,Green,4,CH,4,2,4.808,26.837,4.837,24.8,
G100_Poc5_CH_4.2,Pocillopora,100,Green,5,CH,4,2,5.247,26.374,5.277,24.79,
R001_Poc6_CH_4.2,Pocillopora,1,RED,6,CH,4,2,3.728,26.372,3.794,24.8,
R016_Poc6_TP_4.2,Pocillopora,16,RED,6,TP,4,2,3.921,26.344,3.969,24.8,
R026_Poc7_CH_4.2,Pocillopora,26,RED,7,CH,4,2,2.529,26.959,2.567,24.85,
R050_Poc8_CH_4.2,Pocillopora,50,RED,8,CH,4,2,4.315,26.92,4.373,24.8,
