,ChamberID,LightM,LightB,LightR2,LightP,GoodLight?,DarkM,DarkB,DarkR2,DarkP,Good?,
96,W2.R4.C12,0.098517121,254.8283522,0.940082829,0.157431371,TRUE,-0.224943732,264.6556638,0.901828496,0.20288471,TRUE,
97,W4.R1.C01,-0.063730288,268.6394401,0.082518418,0.814511126,FALSE,0.003797897,272.2968458,6.43E-05,0.994893115,FALSE,
98,W4.R1.C02,8.49605565,299.364653,0.954208641,0.137291445,TRUE,-4.196064887,607.4815018,0.781803461,0.309413281,TRUE,
99,W4.R1.C03,2.740807627,283.5775018,0.945183223,0.150448164,TRUE,2.768622047,307.8234252,0.990334734,0.062688679,FALSE,
100,W4.R1.C04,6.094927918,258.1555718,0.910212145,0.193737282,TRUE,-1.027655191,396.6664832,0.823512314,0.276013081,TRUE,
101,W4.R1.C05,-4.591920262,357.7446821,0.92485448,0.17677762,FALSE,-1.934346847,533.9859167,0.675675676,0.385722266,FALSE,
102,W4.R1.C06,2.770593366,271.6770355,0.908361205,0.195788735,TRUE,3.58597973,280.4569291,0.979011316,0.092555829,FALSE,
103,W4.R1.C07,5.38152381,253.9745619,0.999795569,0.009102658,TRUE,-1.527006958,385.6637501,0.983719805,0.081450813,TRUE,
104,W4.R1.C08,5.997214286,274.1575143,0.992678711,0.054538762,TRUE,-1.047961094,417.2920305,0.807139148,0.289447229,TRUE,
105,W4.R1.C09,2.316571429,234.5298571,0.985000226,0.078165341,TRUE,-0.933605249,300.6504075,0.999329746,0.016483463,TRUE,
106,W4.R1.C10,4.594952381,256.3196095,0.995013185,0.044993874,TRUE,-1.715281766,380.6009598,0.997807362,0.029821015,TRUE,
107,W4.R1.C11,0.793061541,244.3191466,0.601162046,0.435150563,TRUE,1.52528715,259.833837,0.98532534,0.077309364,FALSE,
108,W4.R1.C12,3.568445743,222.0091799,0.991511379,0.058737442,TRUE,2.789963149,244.6616813,0.692193108,0.374413105,FALSE,
109,W4.R2.C01,3.059013686,253.8767645,0.999526086,0.013860027,TRUE,-0.172389187,347.2582601,0.142075548,0.753960073,FALSE,
110,W4.R2.C02,1.996019799,257.6949994,0.992223372,0.056213458,TRUE,3.101766917,275.164703,0.999627943,0.012280374,FALSE,
111,W4.R2.C03,0.088655793,254.6392683,0.274617632,0.648848663,FALSE,0.136746225,252.1935475,0.633270942,0.414118934,FALSE,
112,W4.R2.C04,1.281919736,277.0381121,0.889349046,0.2158804,TRUE,1.242781955,300.8655489,0.999422819,0.015295996,FALSE,
113,W4.R2.C05,7.436879524,222.1998264,0.975756653,0.099528397,TRUE,-1.087857143,398.8221429,0.917502783,0.185464345,TRUE,
114,W4.R2.C06,4.275826616,210.5564348,0.896475942,0.208543157,TRUE,0.526115288,287.9537694,0.577851343,0.450235822,FALSE,
115,W4.R2.C07,2.327926686,259.4160829,0.992743992,0.05429447,TRUE,0.921770922,315.6970565,0.980196521,0.089886571,FALSE,
116,W4.R2.C08,9.408225996,254.2034387,0.996061148,0.039980708,TRUE,-3.429084781,492.2218225,0.998775296,0.022283547,TRUE,
