Nub_ID,Nubbin.ID,Colony,Nutrient.Level,Tank.Level,Species,Assignment,d.wt,Chip_X.mm,Chip_Y.mm,Chip_Z.mm,Dome.Cone,r,chunk_SA,nub_SA,Total_SA,bw.growth,std.growth
G095_Poc5_CH_N1.T3,G095_Poc5_CH,5,N1,T3,POC,CH,0.11105,2.62,2.77,5.52,Cone,2.695,74.82565792,645.9741588,720.7998167,1.320155313,0.001831514
G096_Poc5_CH_N2.T1,G096_Poc5_CH,5,N2,T1,POC,CH,0.06847,7.24,9.48,11.74,Cone,8.36,598.0877468,466.8249927,1064.912739,0.761770517,0.000715336
G097_Poc5_CH_N3.T3,G097_Poc5_CH,5,N3,T3,POC,CH,0.47047,5.79,3.06,4.32,Cone,4.425,147.4828313,2158.181611,2305.664442,3.386859274,0.00146893
G098_Poc5_CH_N2.T3,G098_Poc5_CH,5,N2,T3,POC,CH,0.3531,3.05,5.14,9.41,Cone,4.095,184.7055642,1664.364381,1849.069945,0.557174423,0.000301327
G099_Poc5_CH_N0.T2,G099_Poc5_CH,5,N0,T2,POC,CH,0.88003,3.37,3.13,15.83,Cone,3.25,198.1813508,3881.345831,4079.527182,0.779586575,0.000191097
G100_Poc5_CH_N4.T2,G100_Poc5_CH,5,N4,T2,POC,CH,0.14024,3.48,5.63,8.15,Cone,4.555,198.7869578,768.7868446,967.5738024,0.571675567,0.000590834
G121_Por2_CH_N1.T2,G121_Por2_CH,2,N1,T2,POR,CH,0.56977,11.53,9.04,3.39,Dome,NA,NA,NA,NA,NA,NA
G122_Por2_CH_N2.T3,G122_Por2_CH,2,N2,T3,POR,CH,0.22238,14.03,9.34,9.09,Dome,NA,NA,NA,NA,NA,NA
G123_Por2_CH_N0.T3,G123_Por2_CH,2,N0,T3,POR,CH,0.43458,9.35,7.61,4.27,Dome,NA,NA,NA,NA,NA,NA
G124_Por2_CH_N1.T1,G124_Por2_CH,2,N1,T1,POR,CH,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G125_Por2_CH_N4.T2,G125_Por2_CH,2,N4,T2,POR,CH,0.30006,17.16,8.74,9.83,Dome,NA,NA,NA,NA,NA,NA
G126_Por2_CH_N2.T2,G126_Por2_CH,2,N2,T2,POR,CH,0.44599,8.52,12.27,6.23,Dome,NA,NA,NA,NA,NA,NA
G127_Por2_CH_N4.T3,G127_Por2_CH,2,N4,T3,POR,CH,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G128_Por2_CH_N0.T1,G128_Por2_CH,2,N0,T1,POR,CH,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G129_Por2_CH_N3.T2,G129_Por2_CH,2,N3,T2,POR,CH,0.33788,10.12,8.79,5.65,Dome,NA,NA,NA,NA,NA,NA
G130_Por2_CH_N4.T1,G130_Por2_CH,2,N4,T1,POR,CH,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G131_Por2_CH_T0,G131_Por2_CH,2,,T0,POR,T0,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G132_Por2_CH_N3.T3,G132_Por2_CH,2,N3,T3,POR,CH,0.23242,15.07,12.48,3.98,Dome,NA,NA,NA,NA,NA,NA
G133_Por2_CH_T0,G133_Por2_CH,2,,T0,POR,T0,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G134_Por2_CH_N3.T1,G134_Por2_CH,2,N3,T1,POR,CH,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G135_Por2_CH_N0.T2,G135_Por2_CH,2,N0,T2,POR,CH,0.15261,9.05,7.88,8.92,Dome,NA,NA,NA,NA,NA,NA
G136_Por2_TP_N3.T1,G136_Por2_TP,2,N3,T1,POR,TP,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G137_Por2_TP_N4.T3,G137_Por2_TP,2,N4,T3,POR,TP,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G138_Por2_CH_N1.T3,G138_Por2_CH,2,N1,T3,POR,CH,0.10286,7.87,7.73,3.87,Dome,NA,NA,NA,NA,NA,NA
G139_Por2_TP_N0.T2,G139_Por2_TP,2,N0,T2,POR,TP,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
